Date,Time,Price,50-Day MA,200-Day MA,Market Open,Prev Close,Trading Volume,Sentiment,Subjectivity
"Dec 27, 2019",09:24,431.3,357.64,270.61,435.0,430.94,3333955.0,0.28300000000000003,0.332
"Dec 27, 2019",09:26,431.27,357.64,270.61,435.0,430.94,3445821.0,0.28300000000000003,0.332
"Dec 27, 2019",09:29,430.36,357.64,270.61,435.0,430.94,3515884.0,0.28300000000000003,0.332
"Dec 27, 2019",09:32,430.17,357.64,270.61,435.0,430.94,3553055.0,0.28300000000000003,0.332
"Dec 27, 2019",09:34,429.98,357.64,270.61,435.0,430.94,3793441.0,0.28300000000000003,0.332
"Dec 27, 2019",09:37,429.41,357.64,270.61,435.0,430.94,3888905.0,0.28300000000000003,0.332
"Dec 27, 2019",09:39,430.81,357.64,270.61,435.0,430.94,3978089.0,0.28300000000000003,0.332
"Dec 27, 2019",09:42,429.64,357.64,270.61,435.0,430.94,4063618.0,0.0,0.0
"Dec 27, 2019",09:45,429.93,357.64,270.61,435.0,430.94,4127280.0,0.0,0.0
"Dec 27, 2019",09:47,430.23,357.64,270.61,435.0,430.94,4194515.0,0.0,0.0
"Dec 27, 2019",13:05,,357.64,270.61,435.0,430.94,7431737.0,0.2705,0.3395
"Dec 27, 2019",13:08,430.69,357.64,270.61,435.0,430.94,7447928.0,0.2705,0.3395
"Dec 27, 2019",13:11,430.0,,,435.0,430.94,7493656.0,0.2705,0.3395
"Dec 27, 2019",13:13,429.68,357.64,,435.0,430.94,7532406.0,0.2705,0.3395
"Dec 27, 2019",13:14,429.56,357.64,270.61,435.0,430.94,7534089.0,0.2705,0.3395
"Dec 27, 2019",13:16,429.02,357.64,270.61,435.0,430.94,7617321.0,0.2705,0.3395
"Dec 27, 2019",13:17,428.79,357.64,270.61,435.0,430.94,7637914.0,0.2705,0.3395
"Dec 27, 2019",13:18,428.53,357.64,270.61,435.0,430.94,7684974.0,0.2705,0.33949999999999997
