Date,Time,Price,50-Day MA,200-Day MA,Market Open,Prev Close,Trading Volume,Sentiment,Subjectivity
"Dec 27, 2019",09:24,1358.75,1324.72,1219.57,1364.0,1362.47,235860.0,0.06077922077922078,0.17354978354978354
"Dec 27, 2019",09:27,1358.18,1324.72,1219.57,1364.0,1362.47,240188.0,0.06077922077922078,0.17354978354978354
"Dec 27, 2019",09:30,1358.44,1324.72,1219.57,1364.0,1362.47,248993.0,0.06077922077922078,0.17354978354978354
"Dec 27, 2019",09:32,1358.08,1324.72,1219.57,1364.0,1362.47,252753.0,0.06077922077922078,0.17354978354978354
"Dec 27, 2019",09:35,1358.48,1324.72,1219.57,1364.0,1362.47,259660.0,0.06077922077922078,0.17354978354978354
"Dec 27, 2019",09:37,1359.03,1324.72,1219.57,1364.0,1362.47,262969.0,0.06077922077922078,0.17354978354978354
"Dec 27, 2019",09:40,1359.02,1324.72,1219.57,1364.0,1362.47,265666.0,0.06077922077922078,0.17354978354978354
"Dec 27, 2019",09:43,1359.94,1324.72,1219.57,1364.0,1362.47,268309.0,0.0,0.0
"Dec 27, 2019",09:45,1360.0,1324.72,1219.57,1364.0,1362.47,272428.0,0.0,0.0
"Dec 27, 2019",09:48,1360.69,1324.72,1219.57,1364.0,1362.47,337768.0,0.0,0.0
