Date,Time,Price,50-Day MA,200-Day MA,Market Open,Prev Close,Trading Volume,Sentiment,Subjectivity
"Dec 27, 2019",09:25,292.1,269.26,228.05,291.12,289.91,12301225.0,0.08142857142857143,0.2542857142857143
"Dec 27, 2019",09:27,291.92,269.26,228.05,291.12,289.91,12457137.0,0.08142857142857143,0.2542857142857143
"Dec 27, 2019",09:30,291.76,269.26,228.05,291.12,289.91,12802251.0,0.08142857142857143,0.2542857142857143
"Dec 27, 2019",09:33,291.78,269.26,228.05,291.12,289.91,13111275.0,0.08142857142857143,0.2542857142857143
"Dec 27, 2019",09:35,292.02,269.26,228.05,291.12,289.91,13337234.0,0.08142857142857143,0.2542857142857143
"Dec 27, 2019",09:38,291.83,269.26,228.05,291.12,289.91,13540821.0,0.08142857142857143,0.2542857142857143
"Dec 27, 2019",09:41,292.16,269.26,228.05,291.12,289.91,13720131.0,0.08142857142857143,0.2542857142857143
"Dec 27, 2019",09:43,291.94,269.26,228.05,291.12,289.91,13850191.0,0.0,0.0
"Dec 27, 2019",09:46,292.09,269.26,228.05,291.12,289.91,13950181.0,0.0,0.0
"Dec 27, 2019",09:48,291.85,269.26,228.05,291.12,289.91,14108045.0,0.0,0.0
