Date,Time,Price,50-Day MA,200-Day MA,Market Open,Prev Close,Trading Volume,Sentiment,Subjectivity
"Dec 27, 2019",09:25,158.9,151.43,141.0,159.45,158.67,4068081.0,0.08750000000000001,0.1375
"Dec 27, 2019",09:28,158.82,151.43,141.0,159.45,158.67,4160326.0,0.08750000000000001,0.1375
"Dec 27, 2019",09:31,158.84,151.43,141.0,159.45,158.67,4248688.0,0.08750000000000001,0.1375
"Dec 27, 2019",09:33,158.69,151.43,141.0,159.45,158.67,4335920.0,0.08750000000000001,0.1375
"Dec 27, 2019",09:36,158.79,151.43,141.0,159.45,158.67,4404287.0,0.08750000000000001,0.1375
"Dec 27, 2019",09:38,158.69,151.43,141.0,159.45,158.67,4475062.0,0.08750000000000001,0.1375
"Dec 27, 2019",09:41,158.69,151.43,141.0,159.45,158.67,4567531.0,0.08750000000000001,0.1375
"Dec 27, 2019",09:44,158.59,151.43,141.0,159.45,158.67,4656008.0,0.0,0.0
"Dec 27, 2019",09:46,158.7,151.43,141.0,159.45,158.67,4720492.0,0.0,0.0
"Dec 27, 2019",09:49,158.72,151.43,141.0,159.45,158.67,4764198.0,0.0,0.0
